Time(s),NodeID,TxThroughput(bps),RxThroughput(bps),AvgDelay(s),LossRate(%)
94,6,8416,0,0,87.6543
94,7,0,0,0,0
94,8,16608,0,0,97.2973
95,0,58240,8416,0.093379,75
95,1,16608,16608,0.082588,66.9903
95,2,16608,0,0,82.7957
95,3,49824,0,0,100
95,4,0,0,0,0
95,5,0,0,0,0
95,6,8416,0,0,87.8049
95,7,0,0,0,0
95,8,16608,0,0,97.3333
96,0,0,0,0,0
96,1,0,0,0,0
96,2,49824,33216,0.027189,81.25
96,3,0,0,0,0
96,4,0,0,0,0
96,5,49824,0,0,100
96,6,8416,0,0,87.9518
96,7,0,0,0,0
96,8,0,0,0,0
97,0,0,0,0,0
97,1,0,0,0,0
97,2,16608,0,0,81.4433
97,3,0,0,0,0
97,4,49824,0,0,100
97,5,0,0,0,0
97,6,8416,0,0,88.0952
97,7,49824,0,0,100
97,8,16608,0,0,97.3684
98,0,58240,8416,0.0963896,75
98,1,66432,16608,0.0835964,67.2897
98,2,33216,16608,0.057399,80.8081
98,3,0,0,0,0
98,4,0,0,0,0
98,5,0,0,0,0
98,6,8416,0,0,88.2353
98,7,0,0,0,0
98,8,16608,0,0,97.4026
99,0,16608,16608,0.0994106,74.4186
99,1,0,0,0,0
99,2,0,0,0,0
99,3,49824,0,0,100
99,4,0,0,0,0
99,5,0,0,0,0
99,6,8416,0,0,88.3721
99,7,0,0,0,0
99,8,16608,0,0,97.4359
100,0,0,0,0,0
100,1,0,0,0,0
100,2,33216,16608,0.06042,80.198
100,3,0,0,0,0
100,4,49824,0,0,100
100,5,49824,0,0,100
100,6,8416,0,0,88.5057
100,7,0,0,0,0
100,8,16608,0,0,97.4684
101,0,49824,0,0,75
101,1,0,0,0,0
101,2,16608,0,0,80.3922
101,3,0,0,0,0
101,4,0,0,0,0
101,5,0,0,0,0
101,6,8416,0,0,88.6364
101,7,49824,0,0,100
101,8,16608,0,0,97.5
102,0,0,0,0,0
102,1,49824,0,0,68.1818
102,2,16608,0,0,80.5825
102,3,0,0,0,0
102,4,0,0,0,0
102,5,0,0,0,0
102,6,8416,0,0,88.764
102,7,0,0,0,0
102,8,0,0,0,0
103,0,0,0,0,0
103,1,0,0,0,0
103,2,16608,0,0,80.7692
103,3,49824,0,0,100
103,4,49824,0,0,100
103,5,0,0,0,0
103,6,8416,0,0,88.8889
103,7,0,0,0,0
103,8,16608,0,0,97.5309
104,0,49824,0,0,75.5556
104,1,0,0,0,0
104,2,16608,0,0,80.9524
104,3,0,0,0,0
104,4,0,0,0,0
104,5,49824,0,0,100
104,6,0,0,0,0
104,7,0,0,0,0
104,8,16608,0,0,97.561
105,0,0,0,0,0
105,1,0,0,0,0
105,2,0,0,0,0
105,3,0,0,0,0
105,4,0,0,0,0
105,5,0,0,0,0
105,6,8416,0,0,89.011
105,7,49824,0,0,100
105,8,16608,0,0,97.5904
106,0,0,0,0,0
106,1,49824,0,0,69.0265
106,2,16608,0,0,81.1321
106,3,0,0,0,0
106,4,49824,0,0,100
106,5,0,0,0,0
106,6,8416,0,0,89.1304
106,7,0,0,0,0
106,8,16608,0,0,97.619
107,0,58240,25024,0.0517148,74.8201
107,1,16608,16608,0.0846048,68.4211
107,2,16608,0,0,81.3084
107,3,49824,0,0,100
107,4,0,0,0,0
107,5,0,0,0,0
107,6,8416,0,0,89.2473
107,7,0,0,0,0
107,8,16608,0,0,97.6471
108,0,8416,8416,0.10644,74.2857
108,1,0,0,0,0
108,2,16608,0,0,81.4815
108,3,0,0,0,0
108,4,0,0,0,0
108,5,49824,0,0,100
108,6,8416,0,0,89.3617
108,7,0,0,0,0
108,8,0,0,0,0
109,0,0,0,0,0
109,1,16608,16608,0.0876258,67.8261
109,2,16608,0,0,81.6514
109,3,0,0,0,0
109,4,49824,0,0,100
109,5,0,0,0,0
109,6,8416,0,0,89.4737
109,7,49824,0,0,100
109,8,16608,0,0,97.6744
110,0,49824,0,0,74.8252
110,1,49824,0,0,68.6441
110,2,16608,0,0,81.8182
110,3,0,0,0,0
110,4,0,0,0,0
110,5,0,0,0,0
110,6,8416,0,0,89.5833
110,7,0,0,0,0
110,8,16608,0,0,97.7011
111,0,0,0,0,0
111,1,0,0,0,0
111,2,0,0,0,0
111,3,49824,0,0,100
111,4,0,0,0,0
111,5,0,0,0,0
111,6,8416,0,0,89.6907
111,7,0,0,0,0
111,8,16608,0,0,97.7273
112,0,0,0,0,0
112,1,0,0,0,0
112,2,16608,0,0,81.982
112,3,0,0,0,0
112,4,49824,0,0,100
112,5,49824,0,0,100
112,6,8416,0,0,89.7959
112,7,0,0,0,0
112,8,16608,0,0,97.7528
113,0,49824,0,0,75.3425
113,1,16608,16608,0.0906468,68.0672
113,2,16608,0,0,82.1429
113,3,0,0,0,0
113,4,0,0,0,0
113,5,0,0,0,0
113,6,8416,0,0,89.899
113,7,49824,0,0,100
113,8,16608,0,0,97.7778
114,0,0,0,0,0
114,1,49824,0,0,68.8525
114,2,16608,0,0,82.3009
114,3,0,0,0,0
114,4,0,0,0,0
114,5,0,0,0,0
114,6,8416,0,0,90
114,7,0,0,0,0
114,8,0,0,0,0
115,0,0,0,0,0
115,1,0,0,0,0
